feature,importance
GiaDat2025,85.48577192191374
district_word_count,8.498335897562956
QuanHuyen_,1.7940287836137883
QuanHuyen,1.5370099218984368
oneway,0.49045531756881006
X,0.35209963324113686
Phường,0.29333091150534735
lat_abs,0.28532604270866696
xy_diff,0.27385108258284546
Y,0.2422520274572149
district_len,0.23440096235980312
xy_radius,0.09806346754413743
fclass,0.07483056626450746
ref,0.06877802111418939
TenJoin,0.04965917512593918
maxspeed,0.04495025481266629
layer,0.03960674100190455
road_name_word_count,0.03880689608978684
xy_sum,0.0323706185121626
road_name_len,0.03117363152964642
lon_abs,0.024201149727479086
TuDiem,0.00431084903362954
tunnel,0.003360099363935664
bridge,0.0019203027164279266
TuDiem_2,0.0004289683624275799
name,0.0002519654596261176
DenDiem,0.00024902241898698904
DenDiem_2,0.0001658858081109942
TenDuong,9.882702007871689e-06
NamApDung,0.0
DiaChi,0.0
Phường_,0.0
TenDuong_2,0.0
