feature,importance
QuanHuyen_,16.14693146595519
district_ward_key,14.839567065807111
y_round_3,13.479040893348566
Y,10.708232759142444
X,5.428276663412341
road_key_len,5.197762456391269
TenDuong_suffix,4.645700120478064
TenDuong_prefix,4.463186802226006
road_name_len,4.395219622624668
road_full_key,3.8431126591374465
road_district_key,3.8383359928426177
district_len,3.487835862018883
x_round_3,3.391878740372565
Phuong_,2.6710060153449295
road_name_word_count,1.7177522207459568
road_key_word_count,1.5363164962837583
road_ward_key,0.1940211179623917
ward_len,0.01284546209160889
TenDuong_,0.001986777656134157
road_key,0.0009228897032784135
ward_word_count,6.791645480916627e-05
road_count,0.0
nearest_place_distance,0.0
nearest_road_distance,0.0
place_count,0.0
district_word_count,0.0
