feature,importance
district_word_count,30.9294792740677
QuanHuyen,13.826084584623546
district_ward_key,11.829703297913165
TenDuong_prefix,4.749817160326305
y_round_3,4.6765559713926645
road_key_len,4.547906205095519
road_name_len,4.130301593762383
Y,4.092631495212689
x_round_3,3.4403558689137315
district_len,3.2536689693947185
X,3.2040253839351984
road_district_key,2.6439844925627716
road_ward_key,1.9729356067189647
TenDuong_suffix,1.903254000063645
road_key_word_count,1.7354777422459642
Phuong,1.7104113585936174
road_name_word_count,1.063706068422123
TenDuong,0.11265231107815862
ward_word_count,0.09594631744828619
ward_len,0.06837606142847603
road_key,0.012726236799773477
nearest_place_distance,0.0
nearest_road_distance,0.0
place_count,0.0
road_count,0.0
QuocGia,0.0
TinhThanh,0.0
ThanhPho,0.0
road_full_key,0.0
