iter	Passed	Remaining
401	16604	148611
402	16649	148602
403	16700	148654
404	16742	148614
405	16784	148580
406	16836	148633
407	16878	148600
408	16920	148558
409	16960	148511
410	17001	148466
411	17045	148445
412	17090	148431
413	17134	148418
414	17181	148426
415	17229	148437
416	17274	148426
417	17319	148420
418	17367	148427
419	17413	148431
420	17460	148437
421	17504	148410
422	17548	148393
423	17608	148508
424	17654	148503
425	17697	148478
426	17742	148459
427	17786	148444
428	17831	148430
429	17864	148313
430	17906	148277
431	17948	148239
432	17993	148228
433	18037	148203
434	18080	148174
435	18123	148143
436	18162	148087
437	18203	148038
438	18245	147999
439	18286	147954
440	18328	147919
441	18369	147872
442	18412	147837
443	18452	147783
444	18492	147730
445	18533	147687
446	18574	147637
447	18615	147592
448	18641	147426
449	18679	147361
450	18725	147354
451	18765	147303
452	18807	147260
453	18849	147222
454	18889	147173
455	18929	147119
456	18969	147069
457	19009	147010
458	19064	147076
459	19106	147034
460	19146	146983
461	19188	146943
462	19229	146897
463	19270	146852
464	19311	146806
465	19352	146761
466	19396	146742
467	19440	146716
468	19479	146653
469	19520	146613
470	19562	146576
471	19604	146532
472	19645	146487
473	19685	146440
474	19728	146403
475	19768	146353
476	19811	146320
477	19853	146284
478	19895	146246
479	19937	146208
480	19978	146162
481	20022	146136
482	20063	146094
483	20106	146063
484	20151	146048
485	20193	146006
486	20234	145959
487	20272	145897
488	20314	145859
489	20356	145818
490	20396	145764
491	20434	145701
492	20476	145659
493	20522	145649
494	20564	145615
495	20610	145600
496	20650	145552
497	20692	145508
498	20735	145477
499	20777	145442
500	20819	145402
501	20862	145373
502	20903	145323
503	20946	145294
504	20988	145257
505	21031	145224
506	21074	145190
507	21114	145144
508	21156	145102
509	21199	145070
510	21243	145043
511	21282	144986
512	21321	144929
513	21363	144890
514	21405	144850
515	21455	144868
516	21501	144852
517	21543	144815
518	21585	144776
519	21625	144722
520	21666	144681
521	21707	144634
522	21748	144584
523	21791	144553
524	21832	144511
525	21873	144467
526	21913	144410
527	21953	144361
528	21993	144310
529	22037	144281
530	22079	144245
531	22120	144199
532	22161	144154
533	22203	144113
534	22245	144078
535	22289	144049
536	22333	144026
537	22376	143992
538	22415	143935
539	22458	143901
540	22499	143856
541	22542	143819
542	22585	143791
543	22628	143757
544	22668	143706
545	22710	143669
546	22752	143626
547	22794	143586
548	22837	143556
549	22880	143520
550	22921	143479
551	22963	143441
552	23006	143405
553	23048	143369
554	23091	143335
555	23137	143317
556	23179	143279
557	23221	143239
558	23261	143186
559	23301	143137
560	23342	143092
561	23383	143048
562	23424	142998
563	23467	142966
564	23509	142927
565	23550	142886
566	23590	142834
567	23632	142796
568	23676	142767
569	23719	142733
570	23759	142683
571	23801	142640
572	23840	142583
573	23880	142533
574	23920	142483
575	23961	142438
576	24002	142391
577	24042	142341
578	24082	142292
579	24124	142253
580	24164	142203
581	24209	142180
582	24251	142140
583	24294	142103
584	24336	142065
585	24377	142021
586	24419	141979
587	24460	141938
588	24502	141897
589	24541	141840
590	24584	141805
591	24625	141761
592	24667	141721
593	24709	141683
594	24751	141647
595	24794	141610
596	24835	141567
597	24877	141526
598	24919	141486
599	24962	141453
600	25004	141416
601	25049	141390
602	25095	141375
603	25141	141356
604	25186	141334
605	25228	141298
606	25271	141261
607	25313	141224
608	25355	141184
609	25400	141158
610	25442	141120
611	25485	141086
612	25529	141056
613	25575	141038
614	25620	141017
615	25664	140987
616	25708	140957
617	25752	140928
618	25799	140920
619	25848	140917
620	25895	140901
621	25941	140886
622	25987	140868
623	26033	140850
624	26078	140825
625	26122	140793
626	26177	140823
627	26223	140805
628	26269	140788
629	26315	140767
630	26365	140767
631	26407	140729
632	26452	140703
633	26496	140671
634	26540	140641
635	26586	140622
636	26626	140572
637	26668	140531
638	26711	140498
639	26752	140448
640	26798	140429
641	26837	140375
642	26897	140425
643	26940	140389
644	26983	140356
645	27027	140326
646	27071	140296
647	27116	140268
648	27158	140225
649	27200	140187
650	27242	140147
651	27288	140127
652	27331	140087
653	27374	140054
654	27416	140011
655	27458	139970
656	27499	139922
657	27542	139890
658	27585	139853
659	27627	139810
660	27668	139767
661	27710	139722
662	27753	139686
663	27793	139636
664	27835	139593
665	27877	139553
666	27918	139508
667	27962	139475
668	28004	139434
669	28043	139381
670	28084	139335
671	28126	139290
672	28168	139252
673	28209	139206
674	28248	139150
675	28289	139105
676	28330	139058
677	28373	139020
678	28415	138980
679	28458	138945
680	28502	138914
681	28545	138876
682	28587	138833
683	28629	138794
684	28672	138757
685	28715	138721
686	28760	138694
687	28803	138656
688	28845	138615
689	28886	138570
690	28947	138619
691	28989	138579
692	29030	138532
693	29072	138492
694	29115	138455
695	29158	138421
696	29200	138378
697	29245	138349
698	29287	138306
699	29328	138264
700	29370	138221
701	29413	138182
702	29456	138147
703	29499	138112
704	29541	138067
705	29581	138021
706	29624	137983
707	29666	137939
708	29707	137895
709	29751	137863
710	29793	137820
711	29832	137764
712	29872	137717
713	29913	137668
714	29954	137622
715	29995	137577
716	30036	137533
717	30077	137485
718	30118	137441
719	30160	137399
720	30202	137354
721	30244	137316
722	30289	137288
723	30331	137246
724	30376	137217
725	30419	137180
726	30463	137150
727	30506	137109
728	30547	137067
729	30589	137024
730	30631	136983
731	30674	136944
732	30714	136896
733	30757	136859
734	30799	136817
735	30842	136780
736	30883	136736
737	30924	136688
738	30966	136646
739	31007	136600
740	31050	136561
741	31091	136517
742	31133	136474
743	31176	136438
744	31217	136395
745	31273	136411
746	31318	136385
747	31360	136342
748	31400	136292
749	31442	136252
750	31488	136228
751	31534	136200
752	31577	136164
753	31620	136129
754	31663	136089
755	31704	136045
756	31746	136004
