iter	RMSE
0	0.6572647311
1	0.6401312707
2	0.6226203861
3	0.6060948598
4	0.5906372148
5	0.5756331429
6	0.5604411519
7	0.5454936984
8	0.5308493279
9	0.5164324906
10	0.5030542262
11	0.4899750283
12	0.4777136783
13	0.4649787842
14	0.452686345
15	0.4408264207
16	0.4293365774
17	0.4192587287
18	0.4081386288
19	0.3976898682
20	0.387036436
21	0.3765864595
22	0.3671781445
23	0.357744384
24	0.3487144087
25	0.3395174679
26	0.3309745821
27	0.3225013227
28	0.3142463415
29	0.3069268009
30	0.2989006294
31	0.2911490431
32	0.2836830645
33	0.2767668462
34	0.2698637592
35	0.2626598544
36	0.256131565
37	0.2495211926
38	0.2431122554
39	0.2367468284
40	0.2305856568
41	0.2245185623
42	0.2190161011
43	0.213665137
44	0.2087842249
45	0.2033161216
46	0.1981305461
47	0.1930497236
48	0.1886024979
49	0.1839586649
50	0.1795495006
51	0.1751866148
52	0.1709770593
53	0.1665620014
54	0.1624828311
55	0.1584301461
56	0.1543891706
57	0.1508204848
58	0.1471444859
59	0.1436372042
60	0.1402637916
61	0.1368842768
62	0.133786925
63	0.1308057204
64	0.1278988952
65	0.1249655856
66	0.1221518984
67	0.1192293864
68	0.116299097
69	0.1134884596
70	0.1110306712
71	0.1088840855
72	0.1067774577
73	0.1042654923
74	0.1019091535
75	0.09985376881
76	0.09769223424
77	0.09553112667
78	0.09352141229
79	0.09164343847
80	0.08966624584
81	0.0878255832
82	0.08607699398
83	0.0842060718
84	0.08243657202
85	0.08072274896
86	0.0790611759
87	0.07750710767
88	0.07590236746
89	0.07421239732
90	0.07270127473
91	0.07126001195
92	0.06990227307
93	0.06841153059
94	0.0671049696
95	0.0658108712
96	0.06458868411
97	0.0633003865
98	0.06210556421
99	0.06086997689
100	0.05970965962
101	0.05862717106
102	0.0575800759
103	0.05666742318
104	0.05574269478
105	0.05479220041
106	0.05373476789
107	0.05277228072
108	0.05186240473
109	0.05105347516
110	0.05014126562
111	0.0493278214
112	0.04854908648
113	0.04778949932
114	0.04705451689
115	0.04627992677
116	0.0455042351
117	0.04475318952
118	0.04403498287
119	0.04329223066
120	0.04260599265
121	0.04200501307
122	0.04141475291
123	0.04079542185
124	0.04020440384
125	0.03964467149
126	0.03904313176
127	0.03846546785
128	0.03793495679
129	0.03749487474
130	0.03702553059
131	0.03649032576
132	0.03598570578
133	0.03547292914
134	0.03501577479
135	0.03451884909
136	0.03415305171
137	0.033742263
138	0.03332354067
139	0.03293471362
140	0.03260590837
141	0.03220843064
142	0.03180122436
143	0.03142155422
144	0.03113973501
145	0.03084659841
146	0.03051382902
147	0.03018508117
148	0.02985267461
149	0.02954012232
150	0.02922427594
151	0.02892825794
152	0.02863931168
153	0.0283357382
154	0.02806742976
155	0.02777813648
156	0.02750224866
157	0.0272413472
158	0.0270169679
159	0.02680371498
160	0.02656620184
161	0.02637076351
162	0.02613254235
163	0.02593083076
164	0.02569752755
165	0.02547106424
166	0.02521870359
167	0.02504949542
168	0.02482824369
169	0.02464836477
170	0.02447343428
171	0.02435493747
